Date,ADBE - Adobe,AMD - AMD,AMZN - Amazon,CSCO - Cisco,GOOGL - Google,INTC - Intel,MSFT - Microsoft,NFLX - Netflix,NVDA - Nvidia,SBUX - Starbucks,TSLA - Tesla
9/26/1980,,5.114583492,,,,0.453125,,,,,
9/29/1980,,4.833333492,,,,0.454427093,,,,,
9/30/1980,,5.177083492,,,,0.463541657,,,,,
10/1/1980,,5.041666508,,,,0.46875,,,,,
10/2/1980,,4.96875,,,,0.467447907,,,,,
10/3/1980,,5.177083492,,,,0.483072907,,,,,
10/6/1980,,5.375,,,,0.513020813,,,,,
10/7/1980,,5.4375,,,,0.514322937,,,,,
10/8/1980,,5.4375,,,,0.50390625,,,,,
10/9/1980,,5.53125,,,,0.502604187,,,,,
10/10/1980,,5.166666508,,,,0.497395843,,,,,
10/13/1980,,5.375,,,,0.5,,,,,
10/14/1980,,5.291666508,,,,0.502604187,,,,,
10/15/1980,,5.270833492,,,,0.513020813,,,,,
10/16/1980,,5.1875,,,,0.510416687,,,,,
10/17/1980,,5.09375,,,,0.505208313,,,,,
10/20/1980,,5.104166508,,,,0.5,,,,,
10/21/1980,,5.114583492,,,,0.494791657,,,,,
10/22/1980,,5.1875,,,,0.5,,,,,
10/23/1980,,5.052083492,,,,0.489583343,,,,,
10/24/1980,,5.25,,,,0.479166657,,,,,
10/27/1980,,4.916666508,,,,0.453125,,,,,
10/28/1980,,5,,,,0.466145843,,,,,
10/29/1980,,5.041666508,,,,0.4765625,,,,,
10/30/1980,,4.520833492,,,,0.427083343,,,,,
10/31/1980,,4.791666508,,,,0.4375,,,,,
11/3/1980,,4.833333492,,,,0.4375,,,,,
11/5/1980,,5.416666508,,,,0.46875,,,,,
11/6/1980,,5.166666508,,,,0.440104157,,,,,
11/7/1980,,5.145833492,,,,0.447916657,,,,,
11/10/1980,,5.354166508,,,,0.4453125,,,,,
11/11/1980,,5.520833492,,,,0.453125,,,,,
11/12/1980,,5.666666508,,,,0.46875,,,,,
11/13/1980,,6.041666508,,,,0.479166657,,,,,
11/14/1980,,6.333333492,,,,0.5,,,,,
11/17/1980,,6.583333492,,,,0.502604187,,,,,
11/18/1980,,6.833333492,,,,0.515625,,,,,
11/19/1980,,7.083333492,,,,0.5078125,,,,,
11/20/1980,,7.333333492,,,,0.502604187,,,,,
11/21/1980,,6.791666508,,,,0.494791657,,,,,
11/24/1980,,7,,,,0.486979157,,,,,
11/25/1980,,6.854166508,,,,0.486979157,,,,,
11/26/1980,,6.916666508,,,,0.489583343,,,,,
11/28/1980,,6.958333492,,,,0.484375,,,,,
12/1/1980,,6.9375,,,,0.447916657,,,,,
12/2/1980,,6.6875,,,,0.447916657,,,,,
12/3/1980,,6.541666508,,,,0.453125,,,,,
12/4/1980,,6.666666508,,,,0.462239593,,,,,
12/5/1980,,6.25,,,,0.432291657,,,,,
12/8/1980,,5.833333492,,,,0.416666657,,,,,
12/9/1980,,6.166666508,,,,0.434895843,,,,,
12/10/1980,,5.604166508,,,,0.4296875,,,,,
12/11/1980,,5.729166508,,,,0.416666657,,,,,
12/12/1980,,5.854166508,,,,0.4296875,,,,,
12/15/1980,,5.916666508,,,,0.4296875,,,,,
12/16/1980,,5.583333492,,,,0.432291657,,,,,
12/17/1980,,5.333333492,,,,0.424479157,,,,,
12/18/1980,,5.270833492,,,,0.421875,,,,,
12/19/1980,,4.958333492,,,,0.401041657,,,,,
12/22/1980,,5.041666508,,,,0.401041657,,,,,
12/23/1980,,5.354166508,,,,0.408854157,,,,,
12/24/1980,,5.645833492,,,,0.416666657,,,,,
12/26/1980,,5.6875,,,,0.427083343,,,,,
12/29/1980,,5.479166508,,,,0.4140625,,,,,
12/30/1980,,5.6875,,,,0.419270843,,,,,
12/31/1980,,5.75,,,,0.419270843,,,,,
1/2/1981,,5.875,,,,0.419270843,,,,,
1/5/1981,,5.4375,,,,0.434895843,,,,,
1/6/1981,,5.3125,,,,0.424479157,,,,,
1/7/1981,,5.1875,,,,0.411458343,,,,,
1/8/1981,,4.9375,,,,0.403645843,,,,,
1/9/1981,,4.541666508,,,,0.403645843,,,,,
1/12/1981,,4.666666508,,,,0.395833343,,,,,
1/13/1981,,4.583333492,,,,0.393229157,,,,,
1/14/1981,,4.625,,,,0.395833343,,,,,
1/15/1981,,4.6875,,,,0.3984375,,,,,
1/16/1981,,4.729166508,,,,0.416666657,,,,,
1/19/1981,,4.8125,,,,0.416666657,,,,,
1/20/1981,,4.5625,,,,0.403645843,,,,,
1/21/1981,,4.604166508,,,,0.401041657,,,,,
1/22/1981,,4.5625,,,,0.401041657,,,,,
1/23/1981,,4.375,,,,0.408854157,,,,,
1/26/1981,,4.083333492,,,,0.3984375,,,,,
1/27/1981,,4.145833492,,,,0.395833343,,,,,
1/28/1981,,4.125,,,,0.395833343,,,,,
1/29/1981,,4.125,,,,0.395833343,,,,,
1/30/1981,,3.9375,,,,0.388020843,,,,,
2/2/1981,,3.479166746,,,,0.375,,,,,
2/3/1981,,4,,,,0.390625,,,,,
2/4/1981,,4.041666508,,,,0.401041657,,,,,
2/5/1981,,4.145833492,,,,0.411458343,,,,,
2/6/1981,,4.291666508,,,,0.416666657,,,,,
2/9/1981,,4.104166508,,,,0.416666657,,,,,
2/10/1981,,3.979166746,,,,0.421875,,,,,
2/11/1981,,3.916666746,,,,0.4140625,,,,,
2/12/1981,,3.8125,,,,0.401041657,,,,,
2/13/1981,,3.770833254,,,,0.401041657,,,,,
2/17/1981,,3.875,,,,0.411458343,,,,,
2/18/1981,,3.895833254,,,,0.4140625,,,,,
2/19/1981,,3.791666746,,,,0.4140625,,,,,
2/20/1981,,3.708333254,,,,0.395833343,,,,,
2/23/1981,,3.854166746,,,,0.390625,,,,,
2/24/1981,,3.916666746,,,,0.388020843,,,,,
2/25/1981,,3.75,,,,0.348958343,,,,,
2/26/1981,,3.666666746,,,,0.34375,,,,,
2/27/1981,,3.875,,,,0.364583343,,,,,
3/2/1981,,4.083333492,,,,0.375,,,,,
3/3/1981,,4,,,,0.3671875,,,,,
3/4/1981,,3.958333254,,,,0.361979157,,,,,
3/5/1981,,3.75,,,,0.3515625,,,,,
3/6/1981,,3.833333254,,,,0.3515625,,,,,
3/9/1981,,3.854166746,,,,0.3515625,,,,,
3/10/1981,,3.8125,,,,0.356770843,,,,,
3/11/1981,,3.791666746,,,,0.341145843,,,,,
3/12/1981,,4.083333492,,,,0.359375,,,,,
3/13/1981,,3.958333254,,,,0.364583343,,,,,
3/16/1981,,4.229166508,,,,0.3671875,,,,,
3/17/1981,,4.1875,,,,0.3515625,,,,,
3/18/1981,,4.166666508,,,,0.356770843,,,,,
3/19/1981,,4.104166508,,,,0.354166657,,,,,
3/20/1981,,4.166666508,,,,0.364583343,,,,,
3/23/1981,,4.333333492,,,,0.3671875,,,,,
